Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,30,18,21.2,3.3,6.8,.488,0.1,0.4,.250,3.2,6.4,.503,.495,2.0,2.2,.909,1.6,5.2,1.6,0.6,0.7,1.0,2.6,8.7
Kayla Alexander,CHI,3,0,6.7,1.0,1.3,.750,0.0,0.0,,1.0,1.3,.750,.750,1.0,1.3,.750,0.7,2.3,0.3,0.0,0.0,0.3,1.0,3.0
Rebecca Allen,NYL,24,2,17.2,2.7,6.5,.417,1.2,2.8,.426,1.5,3.7,.409,.510,0.5,0.7,.813,0.5,2.5,0.7,0.5,0.8,0.7,2.1,7.2
Jillian Alleyne,MIN,5,0,2.8,0.4,1.2,.333,0.0,0.0,,0.4,1.2,.333,.333,0.0,0.0,,0.4,1.0,0.2,0.0,0.2,0.0,0.0,0.8
Kristine Anigwe,CON,17,0,7.1,0.6,2.1,.314,0.0,0.0,,0.6,2.1,.314,.314,0.7,1.0,.706,0.8,1.8,0.2,0.4,0.2,0.6,1.0,2.0
Kristine Anigwe,DAL,10,0,12.9,1.1,3.3,.333,0.0,0.0,,1.1,3.3,.333,.333,1.0,1.5,.667,1.4,3.6,0.3,0.3,0.4,0.7,2.2,3.2
Kristine Anigwe,TOT,27,0,9.3,0.8,2.5,.324,0.0,0.0,,0.8,2.5,.324,.324,0.8,1.2,.688,1.0,2.4,0.2,0.3,0.3,0.6,1.4,2.4
Ariel Atkins,WAS,33,33,24.4,3.7,9.0,.416,1.5,4.3,.357,2.2,4.6,.471,.502,1.3,1.6,.811,0.7,2.8,2.0,1.5,0.5,1.0,2.2,10.3
Seimone Augustus,MIN,12,7,13.0,1.7,5.3,.313,0.2,1.0,.167,1.5,4.3,.346,.328,0.3,0.3,.750,0.2,0.6,1.3,0.4,0.1,1.0,0.4,3.8
Rachel Banham,CON,29,0,12.2,1.3,4.0,.322,0.8,2.5,.306,0.5,1.5,.349,.417,0.3,0.4,.692,0.0,1.0,0.9,0.3,0.1,0.9,1.2,3.6
